RoomId,RoomNumber,RoomName,Level,Area (SF),Volume (CF),Room Location X (ft),Room Location Y (ft),Room Location Z (ft),Boundary Loop,Segment Index,Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Boundary Element Id
1437284,117,Room Name 117,L -1,2061.427,20592.796,79.34,155.177,-15,1,41,109.486,141.01,-15,110.611,141.01,-15,
1437284,117,Room Name 117,L -1,2061.427,20592.796,79.34,155.177,-15,1,42,110.611,141.01,-15,124.465,141.01,-15,1944229
1773253,193,Room Name 193,L -1,22.58,225.563,113.726,186.224,-15,1,1,117.07,187.886,-15,110.382,187.886,-15,1537404
1773253,193,Room Name 193,L -1,22.58,225.563,113.726,186.224,-15,1,2,110.382,187.886,-15,110.382,184.51,-15,1537901
1773253,193,Room Name 193,L -1,22.58,225.563,113.726,186.224,-15,1,3,110.382,184.51,-15,117.07,184.51,-15,2179040
1773253,193,Room Name 193,L -1,22.58,225.563,113.726,186.224,-15,1,4,117.07,184.51,-15,117.07,187.886,-15,1537528
1773254,194,Room Name 194,L -1,273.947,2736.637,68.688,191.645,-15,1,1,71.765,198.562,-15,67.382,198.562,-15,1404538
1773254,194,Room Name 194,L -1,273.947,2736.637,68.688,191.645,-15,1,2,67.382,198.562,-15,67.382,198.666,-15,
1773254,194,Room Name 194,L -1,273.947,2736.637,68.688,191.645,-15,1,3,67.382,198.666,-15,67.111,198.666,-15,1437564
1773254,194,Room Name 194,L -1,273.947,2736.637,68.688,191.645,-15,1,4,67.111,198.666,-15,67,198.666,-15,1437564
1773254,194,Room Name 194,L -1,273.947,2736.637,68.688,191.645,-15,1,5,67,198.666,-15,66.096,198.666,-15,1437564
1773254,194,Room Name 194,L -1,273.947,2736.637,68.688,191.645,-15,1,6,66.096,198.666,-15,65.986,198.666,-15,1437564
1773254,194,Room Name 194,L -1,273.947,2736.637,68.688,191.645,-15,1,7,65.986,198.666,-15,52.611,198.666,-15,1437564
1773254,194,Room Name 194,L -1,273.947,2736.637,68.688,191.645,-15,1,8,52.611,198.666,-15,52.382,198.666,-15,1437564
1773254,194,Room Name 194,L -1,273.947,2736.637,68.688,191.645,-15,1,9,52.382,198.666,-15,52.382,192.499,-15,1615046
1773254,194,Room Name 194,L -1,273.947,2736.637,68.688,191.645,-15,1,10,52.382,192.499,-15,52.382,184.51,-15,1615046
1773254,194,Room Name 194,L -1,273.947,2736.637,68.688,191.645,-15,1,11,52.382,184.51,-15,71.765,184.51,-15,1516212
1773254,194,Room Name 194,L -1,273.947,2736.637,68.688,191.645,-15,1,12,71.765,184.51,-15,71.765,198.562,-15,1992218
1773256,196,Room Name 196,L -1,406.151,4057.31,30.298,191.416,-15,1,1,9.111,198.666,-15,8.882,198.666,-15,1437564
1773256,196,Room Name 196,L -1,406.151,4057.31,30.298,191.416,-15,1,2,8.882,198.666,-15,8.882,184.166,-15,1516246
1773256,196,Room Name 196,L -1,406.151,4057.31,30.298,191.416,-15,1,3,8.882,184.166,-15,23.611,184.166,-15,1438539
1773256,196,Room Name 196,L -1,406.151,4057.31,30.298,191.416,-15,1,4,23.611,184.166,-15,23.611,184.499,-15,
1773256,196,Room Name 196,L -1,406.151,4057.31,30.298,191.416,-15,1,5,23.611,184.499,-15,26.765,184.499,-15,1516005
1773256,196,Room Name 196,L -1,406.151,4057.31,30.298,191.416,-15,1,6,26.765,184.499,-15,30.765,184.499,-15,1516005
1773256,196,Room Name 196,L -1,406.151,4057.31,30.298,191.416,-15,1,7,30.765,184.499,-15,37.204,184.499,-15,1516005
1773256,196,Room Name 196,L -1,406.151,4057.31,30.298,191.416,-15,1,8,37.204,184.499,-15,37.204,192.499,-15,2000202
1773256,196,Room Name 196,L -1,406.151,4057.31,30.298,191.416,-15,1,9,37.204,192.499,-15,37.204,198.666,-15,2000202
1773256,196,Room Name 196,L -1,406.151,4057.31,30.298,191.416,-15,1,10,37.204,198.666,-15,36.986,198.666,-15,1437564
1773256,196,Room Name 196,L -1,406.151,4057.31,30.298,191.416,-15,1,11,36.986,198.666,-15,23.611,198.666,-15,1437564
1773256,196,Room Name 196,L -1,406.151,4057.31,30.298,191.416,-15,1,12,23.611,198.666,-15,22.486,198.666,-15,1437564
1773256,196,Room Name 196,L -1,406.151,4057.31,30.298,191.416,-15,1,13,22.486,198.666,-15,9.111,198.666,-15,1437564
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,1,109.715,154.833,0,109.715,169.666,0,1352336
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,2,109.715,169.666,0,109.486,169.666,0,1780464
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,3,109.486,169.666,0,109.486,169.333,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,4,109.486,169.333,0,104.465,169.333,0,1776593
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,5,104.465,169.333,0,104.465,169.666,0,
1403234,110,Room Name 110,L 0,1841.909,18399.9,79.648,152.727,0,1,6,104.465,169.666,0,96.965,169.666,0,1780464
